order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,region,state,category,sub_category,product_name,quantity,unit_price,discount,revenue,cost,profit
ORD-10000,2021-06-28,2021-07-03,Standard Class,CUST-1447,Jennifer Wright,Consumer,North,Georgia,Furniture,Chairs,Terrell Ltd Chairs,5,100.51,0.0,502.55,338.24,164.31
ORD-10001,2021-11-23,2021-11-29,First Class,CUST-1440,Carrie Johnson,Corporate,North,Kansas,Furniture,Desks,Buckley PLC Desks,9,887.62,0.0,7988.58,3607.84,4380.74
ORD-10002,2023-02-15,2023-02-16,Same Day,CUST-2266,Robert Faulkner,Corporate,South,Kansas,Technology,Phones,Powers and Sons Phones,6,296.72,0.05,1691.3,1234.26,457.04
ORD-10003,2023-07-18,2023-07-24,Second Class,CUST-1727,Kevin Lambert,Consumer,East,Michigan,Furniture,Chairs,Johnson PLC Chairs,4,117.58,0.15,399.77,256.34,143.43
ORD-10004,2022-03-26,2022-04-01,Same Day,CUST-1114,David Harris,Consumer,North,Missouri,Furniture,Chairs,"Parsons, Adams and Reynolds Chairs",3,579.49,0.05,1651.55,1212.38,439.17
ORD-10005,2023-07-29,2023-07-31,First Class,CUST-2149,Michael Gray,Home Office,East,Florida,Office Supplies,Storage,"Reed, Doyle and Massey Storage",4,28.74,0.2,91.97,66.08,25.89
ORD-10006,2021-04-07,2021-04-14,Second Class,CUST-2622,Allison Mcdonald,Home Office,West,Illinois,Furniture,Shelving,Montoya Group Shelving,10,151.39,0.0,1513.9,715.66,798.24
ORD-10007,2022-07-01,2022-07-08,Standard Class,CUST-1890,John Jackson,Consumer,West,Colorado,Furniture,Chairs,"Norton, Miller and Watson Chairs",10,395.51,0.5,1977.55,1893.06,84.49
ORD-10008,2023-11-06,2023-11-11,Standard Class,CUST-1330,Jasmine Rogers,Home Office,North,Iowa,Technology,Accessories,Henderson-Sharp Accessories,5,132.62,0.3,464.17,347.87,116.3
ORD-10009,2021-06-11,2021-06-12,First Class,CUST-2557,Anita Bradley,Home Office,South,Tennessee,Furniture,Bookcases,Martin-Wood Bookcases,2,274.99,0.2,439.98,280.61,159.37
ORD-10010,2022-02-16,2022-02-22,Same Day,CUST-2330,Kevin Williams,Corporate,West,Mississippi,Technology,Accessories,Sanchez-Dalton Accessories,9,76.54,0.0,688.86,469.96,218.9
ORD-10011,2021-01-15,2021-01-16,,CUST-1138,Jonathan Johnson,Consumer,East,Texas,Furniture,Tables,Rodriguez PLC Tables,4,286.99,0.0,1147.96,685.46,462.5
ORD-10012,2023-04-14,2023-04-16,Same Day,CUST-1725,Marcus Conway,Corporate,West,Michigan,Technology,Tablets,Gibson-Marquez Tablets,8,304.7,0.0,2437.6,1385.15,1052.45
ORD-10013,2023-07-08,2023-07-10,Standard Class,CUST-1511,Nathan Smith,Consumer,West,Missouri,Office Supplies,Envelopes,Moore Group Envelopes,2,4.46,0.0,8.92,4.44,4.48
ORD-10014,2022-03-14,2022-03-21,Second Class,CUST-1776,Dr. Michael White,Consumer,West,Kansas,Furniture,Chairs,"Munoz, Barajas and Smith Chairs",9,121.48,0.15,929.32,624.73,304.59
ORD-10015,2021-05-05,2021-05-11,Second Class,CUST-1976,Chase Baldwin,Home Office,South,Hawaii,Office Supplies,Storage,Martinez-Matthews Storage,9,29.97,0.1,242.76,186.7,56.06
ORD-10016,2022-05-20,2022-05-25,Second Class,CUST-1858,Michelle Dunlap,Home Office,East,Nevada,Technology,Tablets,"Sexton, Marshall and Cook Tablets",3,202.07,0.0,606.21,415.5,190.71
ORD-10017,2021-05-29,2021-05-30,First Class,CUST-1204,Jacqueline Curry,Consumer,South,Colorado,Office Supplies,Binders,Miller Inc Binders,6,27.78,0.0,166.68,113.72,52.96
ORD-10018,2022-09-12,2022-09-17,First Class,CUST-2083,Thomas Martin,Consumer,East,Rhode Island,Furniture,Bookcases,"King, Payne and Elliott Bookcases",6,118.28,0.2,567.74,397.1,170.64
ORD-10019,2022-12-04,2022-12-06,Second Class,CUST-2035,Tyler Hall,Corporate,East,Virginia,Furniture,Chairs,"Cox, Powers and Smith Chairs",3,849.92,0.0,2549.76,1532.93,1016.83
ORD-10020,2023-06-24,2023-06-29,Second Class,CUST-1229,Carlos Perez,Consumer,South,Texas,Technology,Laptops,"Cherry, Diaz and Williams Laptops",5,1488.0,0.0,7440.0,3835.24,3604.76
ORD-10021,2021-03-23,2021-03-26,Standard Class,CUST-1210,Daniel Figueroa,Corporate,West,North Carolina,Furniture,Chairs,"Beard, Ross and Sampson Chairs",10,764.37,0.05,7261.51,5157.55,2103.96
ORD-10022,2022-11-12,2022-11-19,Second Class,CUST-2769,Mrs. Candace Gomez,Home Office,South,Tennessee,Furniture,Desks,Arnold PLC Desks,4,1118.34,0.15,3802.36,2040.73,1761.63
ORD-10023,2023-08-01,2023-08-04,Same Day,CUST-1466,Melanie Benitez,Consumer,North,New Mexico,Office Supplies,Binders,"Perez, Lambert and Russo Binders",2,32.13,0.0,64.26,42.04,22.22
ORD-10024,2022-11-10,2022-11-11,First Class,CUST-1365,Darrell Brown,Home Office,East,North Dakota,Furniture,Desks,"Montgomery, Huff and Washington Desks",5,538.31,0.15,2287.82,1553.97,733.85
ORD-10025,2022-06-06,2022-06-07,Standard Class,CUST-2895,Jennifer Adams,Home Office,South,Idaho,Technology,Laptops,"Wright, Sloan and Deleon Laptops",6,1435.2,0.1,,5116.32,2633.76
ORD-10026,2022-09-26,2022-10-02,Standard Class,CUST-1605,Alice Obrien,Home Office,South,Oklahoma,Office Supplies,Storage,Soto-Cisneros Storage,6,14.9,0.05,84.93,46.94,37.99
ORD-10027,2022-09-15,2022-09-18,First Class,CUST-2242,Christopher Long,Home Office,East,Mississippi,Technology,Phones,Smith-Mason Phones,7,864.93,0.1,5449.06,3986.48,1462.58
ORD-10028,2022-11-18,2022-11-19,Second Class,CUST-2377,Eric Ellis,Corporate,South,Vermont,Office Supplies,Storage,Clark-Kerr Storage,4,40.95,0.05,155.61,85.33,70.28
ORD-10029,2022-02-03,2022-02-09,Standard Class,CUST-1499,Beth Paul,Consumer,North,South Dakota,Technology,Monitors,"Powell, Cook and Cole Monitors",4,168.32,0.5,336.64,452.13,-115.49
ORD-10030,2023-12-24,2023-12-29,Standard Class,CUST-2825,Michael Wilson,Corporate,West,Illinois,Technology,Phones,Mays-Perez Phones,9,418.84,0.0,3769.56,2451.55,1318.01
ORD-10031,2022-05-05,2022-05-08,First Class,CUST-1480,Steven Martinez,Corporate,East,Pennsylvania,Furniture,Tables,Harrell Ltd Tables,8,1358.15,0.0,10865.2,6305.35,4559.85
ORD-10032,2023-08-13,2023-08-17,Second Class,CUST-1797,Amanda Smith,Home Office,North,Utah,Office Supplies,Labels,Fernandez-Johnson Labels,3,3.45,0.0,10.35,5.71,4.64
ORD-10033,2022-03-28,2022-04-01,Same Day,CUST-1059,Christopher Blankenship,Corporate,East,Alaska,Furniture,Tables,"Collins, Lewis and Castillo Tables",6,778.23,0.0,4669.38,2958.79,1710.59
ORD-10034,2021-02-25,2021-02-26,Standard Class,CUST-1945,Juan Lee,Consumer,North,Wyoming,Furniture,Tables,Medina-Berry Tables,8,1119.37,0.2,7163.97,5354.83,1809.14
ORD-10035,2023-05-14,2023-05-17,Same Day,CUST-2534,Jeffrey Moody,Home Office,North,Connecticut,Office Supplies,Storage,"Chaney, Montgomery and Tanner Storage",8,32.91,0.0,263.28,181.08,82.2
ORD-10036,2022-05-04,2022-05-06,Second Class,CUST-2941,Joyce Wallace,Consumer,West,Wisconsin,Office Supplies,Binders,Suarez-Fleming Binders,1,27.06,0.1,24.35,16.38,7.97
ORD-10037,2022-09-30,2022-10-01,Standard Class,CUST-2179,Gabrielle Erickson,Home Office,West,Massachusetts,Furniture,Bookcases,Foster Group Bookcases,3,397.44,0.05,1132.7,585.36,547.34
ORD-10038,2021-09-05,2021-09-12,Standard Class,CUST-1711,Patrick Jacobs,Home Office,West,Rhode Island,Office Supplies,Envelopes,"Garcia, Wang and Olsen Envelopes",10,8.35,0.1,75.15,43.87,31.28
ORD-10039,2023-07-31,2023-08-06,Same Day,CUST-2068,Daniel Cruz,Home Office,East,New York,Furniture,Bookcases,Davis and Sons Bookcases,6,90.34,0.0,542.04,374.11,167.93
ORD-10040,2021-06-27,2021-06-30,First Class,CUST-1951,Stephanie Carey,Home Office,West,Wyoming,Furniture,Shelving,Jones Ltd Shelving,8,241.41,0.0,1931.28,987.61,943.67
ORD-10041,2022-07-20,2022-07-25,First Class,CUST-1175,Frank Farrell,Consumer,West,Pennsylvania,Office Supplies,Paper,Campbell-Long Paper,-6,32.19,0.0,193.14,129.42,63.72
ORD-10042,2022-05-14,2022-05-17,Standard Class,CUST-2133,John Ortiz,Home Office,East,Arizona,Office Supplies,Labels,Williams-Garcia Labels,8,15.65,0.05,118.94,63.28,55.66
ORD-10043,2022-10-09,2022-10-10,First Class,CUST-2413,Angela Torres,Consumer,South,Indiana,Office Supplies,Envelopes,Cooper-Lopez Envelopes,6,17.86,0.1,96.44,67.55,28.89
ORD-10044,2022-08-30,2022-09-01,First Class,CUST-2450,Harold Anderson,Home Office,South,Alaska,Technology,Accessories,Peterson-Johnston Accessories,10,77.79,0.3,544.53,511.98,32.55
ORD-10045,2022-08-06,2022-08-10,Same Day,CUST-2977,Robert Hunter,Consumer,East,Arkansas,Office Supplies,Paper,"Hardy, Park and Obrien Paper",9,58.59,0.0,527.31,238.91,288.4
ORD-10046,2022-09-15,2022-09-16,Standard Class,CUST-2565,Donna Adams,Corporate,South,Florida,Office Supplies,Paper,Miles and Sons Paper,7,50.22,0.0,351.54,229.48,122.06
ORD-10047,2021-07-23,2021-07-30,Same Day,CUST-2352,Barbara Hodge,Consumer,South,New Mexico,Furniture,Tables,"Miller, Stanley and Malone Tables",8,741.71,0.0,5933.68,3591.4,2342.28
ORD-10048,2022-08-03,2022-08-09,Same Day,CUST-1478,Richard Wong,Corporate,South,Iowa,Technology,Monitors,"Copeland, Hatfield and Solomon Monitors",3,563.99,0.0,1691.97,859.3,832.67
ORD-10049,2022-08-15,2022-08-19,Standard Class,CUST-2433,Sean Barr,Corporate,East,Virginia,Office Supplies,Paper,Figueroa and Sons Paper,3,34.95,0.2,83.88,67.96,15.92
ORD-10050,2022-04-14,2022-04-20,First Class,CUST-2947,Pamela Sloan,Consumer,East,Alaska,Furniture,Shelving,Barnett-Jones Shelving,2,168.39,0.05,319.94,153.73,166.21
ORD-10051,2023-10-05,2023-10-06,First Class,CUST-1657,David Griffin,Home Office,North,Maine,Furniture,Chairs,"Hayes, Bailey and Cooper Chairs",3,705.75,0.0,2117.25,1262.58,854.67
ORD-10052,2022-10-25,2022-10-26,Standard Class,CUST-2053,James Robinson,Consumer,West,Delaware,Technology,Printers,Case LLC Printers,8,294.06,0.0,2352.48,1243.59,1108.89
ORD-10053,2021-09-26,2021-09-29,Same Day,CUST-1248,Nathaniel Johnson,Consumer,South,Delaware,Office Supplies,Paper,Davis-Jones Paper,6,15.32,0.05,87.32,46.04,41.28
ORD-10054,2021-11-12,2021-11-16,Standard Class,CUST-2444,Kevin Huffman,Corporate,West,Texas,Furniture,Desks,Brown-Butler Desks,1,441.83,0.05,419.74,211.8,207.94
ORD-10055,2023-04-30,2023-05-03,Second Class,CUST-2680,Hannah Garcia,Consumer,East,Connecticut,Office Supplies,Storage,Waller-Rodriguez Storage,9,27.06,0.0,243.54,126.41,117.13
ORD-10056,2022-11-12,2022-11-17,Second Class,CUST-2910,John Pham,Corporate,South,Wyoming,Furniture,Bookcases,Stone-Williams Bookcases,10,428.49,0.5,2142.45,2447.04,-304.59
ORD-10057,2023-02-20,2023-02-24,First Class,CUST-2335,Jennifer Martin,Consumer,West,Montana,Furniture,Desks,Murray Inc Desks,4,728.98,0.15,2478.53,1826.26,652.27
ORD-10058,2021-02-01,2021-02-07,Same Day,CUST-2986,Karen Pena,Consumer,North,North Dakota,Technology,Monitors,Johnson-Coleman Monitors,10,526.72,0.0,5267.2,3569.11,1698.09
ORD-10059,2023-09-27,2023-10-04,Same Day,CUST-1480,Anthony Henry,Home Office,East,North Carolina,Office Supplies,Pens & Pencils,Roach Group Pens & Pencils,7,9.79,0.05,65.1,41.58,23.52
ORD-10060,2021-03-01,2021-03-02,Standard Class,CUST-1734,Ann Brown,Corporate,West,Montana,Technology,Accessories,Harris Inc Accessories,2,22.65,0.1,40.77,28.24,12.53
ORD-10061,2022-05-09,2022-05-13,Second Class,CUST-1944,Courtney Powell,Home Office,East,Mississippi,Technology,Monitors,"Scott, Martinez and Rosales Monitors",10,548.37,0.1,4935.33,3661.52,1273.81
ORD-10062,2022-09-05,2022-09-11,Second Class,CUST-1935,David Leonard,Corporate,South,Arkansas,Office Supplies,Pens & Pencils,"Murray, Graves and Williams Pens & Pencils",8,17.34,0.2,110.98,95.2,15.78
ORD-10063,2023-03-22,2023-03-25,First Class,CUST-2593,Amy Schneider,Home Office,North,Indiana,Office Supplies,Storage,"Turner, Adams and Farrell Storage",-7,17.47,0.05,116.18,80.41,35.77
ORD-10064,2022-05-29,2022-06-04,First Class,CUST-2394,Amanda Bennett,Consumer,North,Iowa,Furniture,Tables,"Martin, Villa and Salas Tables",5,1269.32,0.15,5394.61,3157.64,2236.97
ORD-10065,2023-05-01,2023-05-03,Second Class,CUST-2794,David Kim,Corporate,East,North Carolina,Furniture,Chairs,"Lee, Ward and Martin Chairs",8,333.32,0.0,2666.56,1396.68,1269.88
ORD-10066,2021-06-04,2021-06-06,First Class,CUST-2385,Michael Ford,Home Office,West,West Virginia,Technology,Printers,Moon-Norton Printers,8,555.31,0.3,3109.74,2519.25,590.49
ORD-10067,2022-06-21,2022-06-26,Same Day,CUST-1760,Daniel Middleton,Consumer,South,Arizona,Furniture,Bookcases,Sanchez Ltd Bookcases,7,99.73,0.0,698.11,444.87,253.24
ORD-10068,2022-09-11,2022-09-17,Standard Class,CUST-2937,Christina Gonzalez DVM,Consumer,East,Texas,Office Supplies,Paper,"Hughes, Burton and Hall Paper",9,39.08,0.0,351.72,199.1,152.62
ORD-10069,2023-04-30,2023-05-06,Same Day,CUST-1835,Valerie Davis,Corporate,North,South Carolina,Office Supplies,Paper,Jones-Hunter Paper,9,10.35,0.0,93.15,58.84,34.31
ORD-10070,2023-01-05,2023-01-06,Standard Class,CUST-1250,Michelle Roman,Corporate,North,Maine,Furniture,Bookcases,Little Ltd Bookcases,8,155.6,0.3,871.36,674.47,196.89
ORD-10071,2022-02-25,2022-02-26,First Class,CUST-2200,Amanda Best,Consumer,South,Delaware,Furniture,Desks,Nguyen PLC Desks,10,805.87,0.3,5641.09,3880.11,1760.98
ORD-10072,2021-12-24,2021-12-25,Second Class,CUST-1030,Dr. James Gray,Corporate,South,Nebraska,Office Supplies,Binders,Rich-Jones Binders,10,32.18,0.0,321.8,188.27,133.53
ORD-10073,2023-01-12,2023-01-17,Standard Class,CUST-1453,Dennis Zuniga,Home Office,North,Rhode Island,Furniture,Bookcases,Cooke Inc Bookcases,5,66.94,0.0,334.7,190.46,144.24
ORD-10074,2023-06-28,2023-06-29,Same Day,CUST-1303,Christian Jacobs,Consumer,South,Montana,Furniture,Shelving,Strickland-Peck Shelving,1,118.42,0.0,118.42,56.49,61.93
ORD-10075,2021-07-23,2021-07-30,First Class,CUST-2333,Anne Carter,Home Office,South,Georgia,Office Supplies,Labels,"Chapman, Rogers and Lee Labels",9,13.4,0.1,108.54,72.52,36.02
ORD-10076,2022-10-03,2022-10-09,Same Day,CUST-2406,Stephanie Baker,Corporate,North,New Hampshire,Office Supplies,Storage,"Black, Guzman and Kim Storage",7,72.17,0.0,505.19,266.81,238.38
ORD-10077,2022-11-07,2022-11-13,Second Class,CUST-2362,David Gibson,Corporate,North,Virginia,Technology,Laptops,"Hobbs, Booth and Hansen Laptops",2,730.52,0.1,1314.94,871.68,443.26
ORD-10078,2023-01-23,2023-01-24,Same Day,CUST-2653,Antonio Gonzalez,Corporate,North,Kansas,Office Supplies,Labels,Murray-Watkins Labels,2,7.62,0.05,14.48,7.27,7.21
ORD-10079,2021-10-21,2021-10-26,First Class,CUST-2517,Gregory Humphrey,Home Office,North,Arizona,Furniture,Bookcases,Tucker PLC Bookcases,5,72.74,0.1,327.33,180.16,147.17
ORD-10080,2021-06-23,2021-06-24,First Class,CUST-1101,Helen Drake,Home Office,North,Minnesota,Technology,Accessories,Patrick and Sons Accessories,7,84.27,0.0,589.89,313.29,276.6
ORD-10081,2023-05-31,2023-06-01,Second Class,CUST-1996,Mary Silva,Home Office,East,Maine,Office Supplies,Storage,"Taylor, Richard and Willis Storage",8,56.34,0.05,428.18,215.65,212.53
ORD-10082,2022-08-16,2022-08-19,Second Class,CUST-1881,Ernest Richardson,Consumer,South,Oklahoma,Technology,Monitors,Williams-Scott Monitors,10,446.45,0.0,4464.5,2861.92,1602.58
ORD-10083,2021-03-28,2021-04-01,First Class,CUST-2765,Tracy Murphy,Corporate,West,Oregon,Office Supplies,Labels,Vasquez-Miller Labels,9,14.67,0.05,125.43,87.86,37.57
